unix_ts,ihd,mains,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,sub13,sub14,sub15,sub16,sub17,sub18,sub19,sub20,sub21,sub22,sub23,sub24
1454832000,0.6,0.611,0.0,0.001,0.0,0.002,0.001,0.0,0.006,0.026,0.0,0.0,0.117,0.108,0.019,0.019,0.002,0.0,0.005,0.004,0.02,0.024,0.042,0.061,0.0,0.154
1454835600,0.7,0.633,0.0,0.001,0.0,0.003,0.0,0.0,0.006,0.048,0.001,0.0,0.116,0.109,0.02,0.019,0.001,0.0,0.005,0.004,0.02,0.021,0.047,0.057,0.0,0.155
1454839200,0.6,0.634,0.0,0.001,0.0,0.002,0.001,0.0,0.024,0.03,0.001,0.0,0.116,0.106,0.019,0.019,0.002,0.0,0.005,0.004,0.021,0.038,0.042,0.045,0.0,0.158
1454842800,0.7,0.665,0.0,0.002,0.0,0.002,0.001,0.0,0.023,0.063,0.001,0.0,0.135,0.108,0.019,0.02,0.001,0.0,0.005,0.004,0.02,0.02,0.043,0.04,0.0,0.158
1454846400,0.8,0.751,0.0,0.001,0.0,0.002,0.001,0.0,0.015,0.155,0.0,0.0,0.133,0.108,0.019,0.019,0.002,0.0,0.005,0.004,0.02,0.022,0.042,0.045,0.0,0.158
1454850000,0.6,0.657,0.0,0.001,0.0,0.002,0.0,0.0,0.005,0.046,0.001,0.0,0.134,0.112,0.02,0.019,0.001,0.0,0.005,0.004,0.021,0.037,0.042,0.047,0.001,0.159
1454853600,0.8,0.757,0.0,0.001,0.0,0.002,0.001,0.0,0.006,0.033,0.0,0.0,0.266,0.108,0.019,0.019,0.002,0.0,0.006,0.004,0.02,0.021,0.042,0.049,0.0,0.158
1454857200,0.7,0.757,0.0,0.002,0.0,0.002,0.001,0.0,0.006,0.045,0.001,0.0,0.187,0.111,0.018,0.019,0.001,0.0,0.005,0.004,0.02,0.03,0.074,0.072,0.0,0.159
1454860800,1.5,1.564,0.0,0.001,0.0,0.002,0.0,0.0,0.006,0.042,0.001,0.0,0.143,0.109,0.019,0.019,0.002,0.001,0.026,0.004,0.02,0.03,0.445,0.536,0.0,0.158
1454864400,1.6,1.648,0.0,0.001,0.0,0.002,0.001,0.0,0.006,0.069,0.102,0.0,0.141,0.111,0.018,0.019,0.001,0.0,0.013,0.006,0.021,0.041,0.438,0.496,0.001,0.161
1454868000,3.2,3.18,0.0,0.002,0.0,0.002,0.0,0.0,0.006,0.048,0.1,0.0,0.141,0.114,0.062,0.061,0.002,0.0,0.009,0.004,0.02,0.046,1.124,1.27,0.0,0.169
1454871600,2.9,2.756,0.0,0.001,0.0,0.003,0.001,0.0,0.005,0.035,0.001,0.0,0.129,0.106,0.472,0.473,0.001,0.0,0.005,0.003,0.019,0.023,0.582,0.737,0.001,0.159
1454875200,1.6,1.673,0.0,0.001,0.0,0.002,0.001,0.0,0.007,0.05,0.0,0.0,0.116,0.111,0.254,0.255,0.002,0.0,0.005,0.004,0.02,0.042,0.23,0.414,0.0,0.159
1454878800,1.7,1.649,0.0,0.001,0.001,0.003,0.001,0.001,0.005,0.037,0.001,0.0,0.124,0.109,0.251,0.25,0.001,0.0,0.011,0.004,0.02,0.026,0.206,0.439,0.0,0.158
1454882400,4.4,4.352,0.0,0.002,0.0,0.004,1.474,1.279,0.006,0.054,0.0,0.0,0.133,0.122,0.224,0.226,0.001,0.001,0.03,0.004,0.02,0.064,0.222,0.308,0.001,0.177
